Polish,English,Link
żadnej,none,https://translate.google.com/translate_tts?ie=UTF-8&q=żadnej&tl=pl&client=tw-ob
jedynie,only,https://translate.google.com/translate_tts?ie=UTF-8&q=jedynie&tl=pl&client=tw-ob
szkole,School,https://translate.google.com/translate_tts?ie=UTF-8&q=szkole&tl=pl&client=tw-ob
pierwsza,first,https://translate.google.com/translate_tts?ie=UTF-8&q=pierwsza&tl=pl&client=tw-ob
musiałem,I had to,https://translate.google.com/translate_tts?ie=UTF-8&q=musiałem&tl=pl&client=tw-ob
wracaj,come back,https://translate.google.com/translate_tts?ie=UTF-8&q=wracaj&tl=pl&client=tw-ob
szkoda,Pity,https://translate.google.com/translate_tts?ie=UTF-8&q=szkoda&tl=pl&client=tw-ob
george,george,https://translate.google.com/translate_tts?ie=UTF-8&q=george&tl=pl&client=tw-ob
siostra,sister,https://translate.google.com/translate_tts?ie=UTF-8&q=siostra&tl=pl&client=tw-ob
zapomnij,forget,https://translate.google.com/translate_tts?ie=UTF-8&q=zapomnij&tl=pl&client=tw-ob
pomyślałem,I thought,https://translate.google.com/translate_tts?ie=UTF-8&q=pomyślałem&tl=pl&client=tw-ob
słyszysz,you hear,https://translate.google.com/translate_tts?ie=UTF-8&q=słyszysz&tl=pl&client=tw-ob
ponownie,again,https://translate.google.com/translate_tts?ie=UTF-8&q=ponownie&tl=pl&client=tw-ob
przyszedł,he came,https://translate.google.com/translate_tts?ie=UTF-8&q=przyszedł&tl=pl&client=tw-ob
całkowicie,entirely,https://translate.google.com/translate_tts?ie=UTF-8&q=całkowicie&tl=pl&client=tw-ob
charlie,charlie,https://translate.google.com/translate_tts?ie=UTF-8&q=charlie&tl=pl&client=tw-ob
zamiast,instead,https://translate.google.com/translate_tts?ie=UTF-8&q=zamiast&tl=pl&client=tw-ob
trzymać,to hold,https://translate.google.com/translate_tts?ie=UTF-8&q=trzymać&tl=pl&client=tw-ob
musicie,you have to,https://translate.google.com/translate_tts?ie=UTF-8&q=musicie&tl=pl&client=tw-ob
czuje,I feel,https://translate.google.com/translate_tts?ie=UTF-8&q=czuje&tl=pl&client=tw-ob
gówno,shit,https://translate.google.com/translate_tts?ie=UTF-8&q=gówno&tl=pl&client=tw-ob
trzech,three,https://translate.google.com/translate_tts?ie=UTF-8&q=trzech&tl=pl&client=tw-ob
rady,advice,https://translate.google.com/translate_tts?ie=UTF-8&q=rady&tl=pl&client=tw-ob
dowiedzieć,find out,https://translate.google.com/translate_tts?ie=UTF-8&q=dowiedzieć&tl=pl&client=tw-ob
jakaś,some,https://translate.google.com/translate_tts?ie=UTF-8&q=jakaś&tl=pl&client=tw-ob
obiecuję,I promise,https://translate.google.com/translate_tts?ie=UTF-8&q=obiecuję&tl=pl&client=tw-ob
osób,people,https://translate.google.com/translate_tts?ie=UTF-8&q=osób&tl=pl&client=tw-ob
niestety,Unfortunately,https://translate.google.com/translate_tts?ie=UTF-8&q=niestety&tl=pl&client=tw-ob
zadzwonić,call,https://translate.google.com/translate_tts?ie=UTF-8&q=zadzwonić&tl=pl&client=tw-ob
samochodu,car,https://translate.google.com/translate_tts?ie=UTF-8&q=samochodu&tl=pl&client=tw-ob
czekać,wait,https://translate.google.com/translate_tts?ie=UTF-8&q=czekać&tl=pl&client=tw-ob
zatem,therefore,https://translate.google.com/translate_tts?ie=UTF-8&q=zatem&tl=pl&client=tw-ob
jakim,what,https://translate.google.com/translate_tts?ie=UTF-8&q=jakim&tl=pl&client=tw-ob
miało,was supposed to,https://translate.google.com/translate_tts?ie=UTF-8&q=miało&tl=pl&client=tw-ob
piękna,Beautiful,https://translate.google.com/translate_tts?ie=UTF-8&q=piękna&tl=pl&client=tw-ob
oraz,and,https://translate.google.com/translate_tts?ie=UTF-8&q=oraz&tl=pl&client=tw-ob
zostań,stay,https://translate.google.com/translate_tts?ie=UTF-8&q=zostań&tl=pl&client=tw-ob
rany,wounds,https://translate.google.com/translate_tts?ie=UTF-8&q=rany&tl=pl&client=tw-ob
jedziemy,we drive,https://translate.google.com/translate_tts?ie=UTF-8&q=jedziemy&tl=pl&client=tw-ob
dasz,you can give,https://translate.google.com/translate_tts?ie=UTF-8&q=dasz&tl=pl&client=tw-ob
kraju,country,https://translate.google.com/translate_tts?ie=UTF-8&q=kraju&tl=pl&client=tw-ob
zrobiłam,I did,https://translate.google.com/translate_tts?ie=UTF-8&q=zrobiłam&tl=pl&client=tw-ob
zostawić,to leave,https://translate.google.com/translate_tts?ie=UTF-8&q=zostawić&tl=pl&client=tw-ob
historia,history,https://translate.google.com/translate_tts?ie=UTF-8&q=historia&tl=pl&client=tw-ob
mimo,despite,https://translate.google.com/translate_tts?ie=UTF-8&q=mimo&tl=pl&client=tw-ob
zobacz,Look,https://translate.google.com/translate_tts?ie=UTF-8&q=zobacz&tl=pl&client=tw-ob
głupi,stupid,https://translate.google.com/translate_tts?ie=UTF-8&q=głupi&tl=pl&client=tw-ob
nowym,new,https://translate.google.com/translate_tts?ie=UTF-8&q=nowym&tl=pl&client=tw-ob
faceta,man,https://translate.google.com/translate_tts?ie=UTF-8&q=faceta&tl=pl&client=tw-ob
dawno,long time ago,https://translate.google.com/translate_tts?ie=UTF-8&q=dawno&tl=pl&client=tw-ob
pokazać,show,https://translate.google.com/translate_tts?ie=UTF-8&q=pokazać&tl=pl&client=tw-ob
widzenia,vision,https://translate.google.com/translate_tts?ie=UTF-8&q=widzenia&tl=pl&client=tw-ob
rodzinę,family,https://translate.google.com/translate_tts?ie=UTF-8&q=rodzinę&tl=pl&client=tw-ob
obok,Near,https://translate.google.com/translate_tts?ie=UTF-8&q=obok&tl=pl&client=tw-ob
jednej,one,https://translate.google.com/translate_tts?ie=UTF-8&q=jednej&tl=pl&client=tw-ob
powie,will say,https://translate.google.com/translate_tts?ie=UTF-8&q=powie&tl=pl&client=tw-ob
sami,themselves,https://translate.google.com/translate_tts?ie=UTF-8&q=sami&tl=pl&client=tw-ob
przykład,example,https://translate.google.com/translate_tts?ie=UTF-8&q=przykład&tl=pl&client=tw-ob
tygodniu,week,https://translate.google.com/translate_tts?ie=UTF-8&q=tygodniu&tl=pl&client=tw-ob
chciałeś,you wanted,https://translate.google.com/translate_tts?ie=UTF-8&q=chciałeś&tl=pl&client=tw-ob
dłużej,longer,https://translate.google.com/translate_tts?ie=UTF-8&q=dłużej&tl=pl&client=tw-ob
ruszaj,go,https://translate.google.com/translate_tts?ie=UTF-8&q=ruszaj&tl=pl&client=tw-ob
oboje,both,https://translate.google.com/translate_tts?ie=UTF-8&q=oboje&tl=pl&client=tw-ob
dół,hole,https://translate.google.com/translate_tts?ie=UTF-8&q=dół&tl=pl&client=tw-ob
najlepszy,best,https://translate.google.com/translate_tts?ie=UTF-8&q=najlepszy&tl=pl&client=tw-ob
wróci,will come back,https://translate.google.com/translate_tts?ie=UTF-8&q=wróci&tl=pl&client=tw-ob
odkąd,since,https://translate.google.com/translate_tts?ie=UTF-8&q=odkąd&tl=pl&client=tw-ob
musiała,must,https://translate.google.com/translate_tts?ie=UTF-8&q=musiała&tl=pl&client=tw-ob
zabawne,funny,https://translate.google.com/translate_tts?ie=UTF-8&q=zabawne&tl=pl&client=tw-ob
górę,top,https://translate.google.com/translate_tts?ie=UTF-8&q=górę&tl=pl&client=tw-ob
frank,franc,https://translate.google.com/translate_tts?ie=UTF-8&q=frank&tl=pl&client=tw-ob
łatwo,easy,https://translate.google.com/translate_tts?ie=UTF-8&q=łatwo&tl=pl&client=tw-ob
uważam,I think,https://translate.google.com/translate_tts?ie=UTF-8&q=uważam&tl=pl&client=tw-ob
będziecie,you will,https://translate.google.com/translate_tts?ie=UTF-8&q=będziecie&tl=pl&client=tw-ob
wieku,age,https://translate.google.com/translate_tts?ie=UTF-8&q=wieku&tl=pl&client=tw-ob
mówiła,she said,https://translate.google.com/translate_tts?ie=UTF-8&q=mówiła&tl=pl&client=tw-ob
joe,Joe,https://translate.google.com/translate_tts?ie=UTF-8&q=joe&tl=pl&client=tw-ob
synu,son,https://translate.google.com/translate_tts?ie=UTF-8&q=synu&tl=pl&client=tw-ob
chłopcy,boys,https://translate.google.com/translate_tts?ie=UTF-8&q=chłopcy&tl=pl&client=tw-ob
złego,bad,https://translate.google.com/translate_tts?ie=UTF-8&q=złego&tl=pl&client=tw-ob
niczym,like,https://translate.google.com/translate_tts?ie=UTF-8&q=niczym&tl=pl&client=tw-ob
męża,husband,https://translate.google.com/translate_tts?ie=UTF-8&q=męża&tl=pl&client=tw-ob
sporo,a lot,https://translate.google.com/translate_tts?ie=UTF-8&q=sporo&tl=pl&client=tw-ob
popatrz,look,https://translate.google.com/translate_tts?ie=UTF-8&q=popatrz&tl=pl&client=tw-ob
inni,others,https://translate.google.com/translate_tts?ie=UTF-8&q=inni&tl=pl&client=tw-ob
szefie,boss,https://translate.google.com/translate_tts?ie=UTF-8&q=szefie&tl=pl&client=tw-ob
środka,center,https://translate.google.com/translate_tts?ie=UTF-8&q=środka&tl=pl&client=tw-ob
znaleźliśmy,we found,https://translate.google.com/translate_tts?ie=UTF-8&q=znaleźliśmy&tl=pl&client=tw-ob
samym,on the same,https://translate.google.com/translate_tts?ie=UTF-8&q=samym&tl=pl&client=tw-ob
pewnego,certain,https://translate.google.com/translate_tts?ie=UTF-8&q=pewnego&tl=pl&client=tw-ob
pracuję,He's working,https://translate.google.com/translate_tts?ie=UTF-8&q=pracuję&tl=pl&client=tw-ob
panno,virgin,https://translate.google.com/translate_tts?ie=UTF-8&q=panno&tl=pl&client=tw-ob
zajmę,I will occupy,https://translate.google.com/translate_tts?ie=UTF-8&q=zajmę&tl=pl&client=tw-ob
zamierzam,I intend to,https://translate.google.com/translate_tts?ie=UTF-8&q=zamierzam&tl=pl&client=tw-ob
istnieje,exists,https://translate.google.com/translate_tts?ie=UTF-8&q=istnieje&tl=pl&client=tw-ob
uważasz,you think,https://translate.google.com/translate_tts?ie=UTF-8&q=uważasz&tl=pl&client=tw-ob
okazji,occasion,https://translate.google.com/translate_tts?ie=UTF-8&q=okazji&tl=pl&client=tw-ob
moment,moment,https://translate.google.com/translate_tts?ie=UTF-8&q=moment&tl=pl&client=tw-ob
takiej,such,https://translate.google.com/translate_tts?ie=UTF-8&q=takiej&tl=pl&client=tw-ob
spróbuj,try,https://translate.google.com/translate_tts?ie=UTF-8&q=spróbuj&tl=pl&client=tw-ob
znajdziemy,we will find,https://translate.google.com/translate_tts?ie=UTF-8&q=znajdziemy&tl=pl&client=tw-ob
osobą,person,https://translate.google.com/translate_tts?ie=UTF-8&q=osobą&tl=pl&client=tw-ob
nikomu,no one,https://translate.google.com/translate_tts?ie=UTF-8&q=nikomu&tl=pl&client=tw-ob
kupić,to buy,https://translate.google.com/translate_tts?ie=UTF-8&q=kupić&tl=pl&client=tw-ob
sześć,six,https://translate.google.com/translate_tts?ie=UTF-8&q=sześć&tl=pl&client=tw-ob
gość,guest,https://translate.google.com/translate_tts?ie=UTF-8&q=gość&tl=pl&client=tw-ob
niby,kind of,https://translate.google.com/translate_tts?ie=UTF-8&q=niby&tl=pl&client=tw-ob
spróbować,try,https://translate.google.com/translate_tts?ie=UTF-8&q=spróbować&tl=pl&client=tw-ob
póki,while,https://translate.google.com/translate_tts?ie=UTF-8&q=póki&tl=pl&client=tw-ob
cicho,quiet,https://translate.google.com/translate_tts?ie=UTF-8&q=cicho&tl=pl&client=tw-ob
zła,bad,https://translate.google.com/translate_tts?ie=UTF-8&q=zła&tl=pl&client=tw-ob
jakiegoś,some,https://translate.google.com/translate_tts?ie=UTF-8&q=jakiegoś&tl=pl&client=tw-ob
uh,uh,https://translate.google.com/translate_tts?ie=UTF-8&q=uh&tl=pl&client=tw-ob
wezmę,i'll take,https://translate.google.com/translate_tts?ie=UTF-8&q=wezmę&tl=pl&client=tw-ob
walczyć,fight,https://translate.google.com/translate_tts?ie=UTF-8&q=walczyć&tl=pl&client=tw-ob
wiadomości,the news,https://translate.google.com/translate_tts?ie=UTF-8&q=wiadomości&tl=pl&client=tw-ob
prawdziwe,real,https://translate.google.com/translate_tts?ie=UTF-8&q=prawdziwe&tl=pl&client=tw-ob
niedługo,soon,https://translate.google.com/translate_tts?ie=UTF-8&q=niedługo&tl=pl&client=tw-ob
ciągu,sequence,https://translate.google.com/translate_tts?ie=UTF-8&q=ciągu&tl=pl&client=tw-ob
żonę,wife,https://translate.google.com/translate_tts?ie=UTF-8&q=żonę&tl=pl&client=tw-ob
tom,volume,https://translate.google.com/translate_tts?ie=UTF-8&q=tom&tl=pl&client=tw-ob
fbi,FBI,https://translate.google.com/translate_tts?ie=UTF-8&q=fbi&tl=pl&client=tw-ob
boję,scales,https://translate.google.com/translate_tts?ie=UTF-8&q=boję&tl=pl&client=tw-ob
strasznie,terribly,https://translate.google.com/translate_tts?ie=UTF-8&q=strasznie&tl=pl&client=tw-ob
wasze,yours,https://translate.google.com/translate_tts?ie=UTF-8&q=wasze&tl=pl&client=tw-ob
historii,history,https://translate.google.com/translate_tts?ie=UTF-8&q=historii&tl=pl&client=tw-ob
dziewczyną,girl,https://translate.google.com/translate_tts?ie=UTF-8&q=dziewczyną&tl=pl&client=tw-ob
powinna,She should,https://translate.google.com/translate_tts?ie=UTF-8&q=powinna&tl=pl&client=tw-ob
nowa,new,https://translate.google.com/translate_tts?ie=UTF-8&q=nowa&tl=pl&client=tw-ob
wrócił,came back,https://translate.google.com/translate_tts?ie=UTF-8&q=wrócił&tl=pl&client=tw-ob
mężczyzna,man,https://translate.google.com/translate_tts?ie=UTF-8&q=mężczyzna&tl=pl&client=tw-ob
gotowi,ready,https://translate.google.com/translate_tts?ie=UTF-8&q=gotowi&tl=pl&client=tw-ob
głos,voice,https://translate.google.com/translate_tts?ie=UTF-8&q=głos&tl=pl&client=tw-ob
około,about,https://translate.google.com/translate_tts?ie=UTF-8&q=około&tl=pl&client=tw-ob
boli,it hurts,https://translate.google.com/translate_tts?ie=UTF-8&q=boli&tl=pl&client=tw-ob
zwykle,usually,https://translate.google.com/translate_tts?ie=UTF-8&q=zwykle&tl=pl&client=tw-ob
następnym,next,https://translate.google.com/translate_tts?ie=UTF-8&q=następnym&tl=pl&client=tw-ob
powodzenia,Good luck,https://translate.google.com/translate_tts?ie=UTF-8&q=powodzenia&tl=pl&client=tw-ob
słyszałeś,did you hear,https://translate.google.com/translate_tts?ie=UTF-8&q=słyszałeś&tl=pl&client=tw-ob
widać,can be seen,https://translate.google.com/translate_tts?ie=UTF-8&q=widać&tl=pl&client=tw-ob
bracie,brother,https://translate.google.com/translate_tts?ie=UTF-8&q=bracie&tl=pl&client=tw-ob
kocha,love,https://translate.google.com/translate_tts?ie=UTF-8&q=kocha&tl=pl&client=tw-ob
pewnością,certainly,https://translate.google.com/translate_tts?ie=UTF-8&q=pewnością&tl=pl&client=tw-ob
leci,flies,https://translate.google.com/translate_tts?ie=UTF-8&q=leci&tl=pl&client=tw-ob
znajdę,I will find,https://translate.google.com/translate_tts?ie=UTF-8&q=znajdę&tl=pl&client=tw-ob
zająć,hare,https://translate.google.com/translate_tts?ie=UTF-8&q=zająć&tl=pl&client=tw-ob
zadzwonię,I will call,https://translate.google.com/translate_tts?ie=UTF-8&q=zadzwonię&tl=pl&client=tw-ob
szczerze,Honestly,https://translate.google.com/translate_tts?ie=UTF-8&q=szczerze&tl=pl&client=tw-ob
dzieckiem,baby,https://translate.google.com/translate_tts?ie=UTF-8&q=dzieckiem&tl=pl&client=tw-ob
najlepsze,best,https://translate.google.com/translate_tts?ie=UTF-8&q=najlepsze&tl=pl&client=tw-ob
korekta,adjustment,https://translate.google.com/translate_tts?ie=UTF-8&q=korekta&tl=pl&client=tw-ob
przyjdzie,will come,https://translate.google.com/translate_tts?ie=UTF-8&q=przyjdzie&tl=pl&client=tw-ob
próbuję,try,https://translate.google.com/translate_tts?ie=UTF-8&q=próbuję&tl=pl&client=tw-ob
panem,master,https://translate.google.com/translate_tts?ie=UTF-8&q=panem&tl=pl&client=tw-ob
szpitala,hospital,https://translate.google.com/translate_tts?ie=UTF-8&q=szpitala&tl=pl&client=tw-ob
tędy,this way,https://translate.google.com/translate_tts?ie=UTF-8&q=tędy&tl=pl&client=tw-ob
daje,gives,https://translate.google.com/translate_tts?ie=UTF-8&q=daje&tl=pl&client=tw-ob
słyszałam,I heard,https://translate.google.com/translate_tts?ie=UTF-8&q=słyszałam&tl=pl&client=tw-ob
myśl,thought,https://translate.google.com/translate_tts?ie=UTF-8&q=myśl&tl=pl&client=tw-ob
statek,ship,https://translate.google.com/translate_tts?ie=UTF-8&q=statek&tl=pl&client=tw-ob
miałaś,You had,https://translate.google.com/translate_tts?ie=UTF-8&q=miałaś&tl=pl&client=tw-ob
najlepiej,best,https://translate.google.com/translate_tts?ie=UTF-8&q=najlepiej&tl=pl&client=tw-ob
ludźmi,people,https://translate.google.com/translate_tts?ie=UTF-8&q=ludźmi&tl=pl&client=tw-ob
wracam,I'm coming back,https://translate.google.com/translate_tts?ie=UTF-8&q=wracam&tl=pl&client=tw-ob
pytania,questions,https://translate.google.com/translate_tts?ie=UTF-8&q=pytania&tl=pl&client=tw-ob
wracać,return,https://translate.google.com/translate_tts?ie=UTF-8&q=wracać&tl=pl&client=tw-ob
powód,reason,https://translate.google.com/translate_tts?ie=UTF-8&q=powód&tl=pl&client=tw-ob
zrobiłaś,you did,https://translate.google.com/translate_tts?ie=UTF-8&q=zrobiłaś&tl=pl&client=tw-ob
kobietą,woman,https://translate.google.com/translate_tts?ie=UTF-8&q=kobietą&tl=pl&client=tw-ob
prawdziwy,true,https://translate.google.com/translate_tts?ie=UTF-8&q=prawdziwy&tl=pl&client=tw-ob
mogłam,I could,https://translate.google.com/translate_tts?ie=UTF-8&q=mogłam&tl=pl&client=tw-ob
seks,sex,https://translate.google.com/translate_tts?ie=UTF-8&q=seks&tl=pl&client=tw-ob
kolejny,next,https://translate.google.com/translate_tts?ie=UTF-8&q=kolejny&tl=pl&client=tw-ob
pasuje,it suits,https://translate.google.com/translate_tts?ie=UTF-8&q=pasuje&tl=pl&client=tw-ob
jedzenie,food,https://translate.google.com/translate_tts?ie=UTF-8&q=jedzenie&tl=pl&client=tw-ob
nienawidzę,I hate,https://translate.google.com/translate_tts?ie=UTF-8&q=nienawidzę&tl=pl&client=tw-ob
przysięgam,I swear,https://translate.google.com/translate_tts?ie=UTF-8&q=przysięgam&tl=pl&client=tw-ob
umrzeć,die,https://translate.google.com/translate_tts?ie=UTF-8&q=umrzeć&tl=pl&client=tw-ob
proste,easy,https://translate.google.com/translate_tts?ie=UTF-8&q=proste&tl=pl&client=tw-ob
ulicy,street,https://translate.google.com/translate_tts?ie=UTF-8&q=ulicy&tl=pl&client=tw-ob
przyjacielem,friend,https://translate.google.com/translate_tts?ie=UTF-8&q=przyjacielem&tl=pl&client=tw-ob
czyż,or,https://translate.google.com/translate_tts?ie=UTF-8&q=czyż&tl=pl&client=tw-ob
znalazł,he found,https://translate.google.com/translate_tts?ie=UTF-8&q=znalazł&tl=pl&client=tw-ob
nigdzie,nowhere,https://translate.google.com/translate_tts?ie=UTF-8&q=nigdzie&tl=pl&client=tw-ob
zostały,left,https://translate.google.com/translate_tts?ie=UTF-8&q=zostały&tl=pl&client=tw-ob
włosy,hair,https://translate.google.com/translate_tts?ie=UTF-8&q=włosy&tl=pl&client=tw-ob
ojcze,father,https://translate.google.com/translate_tts?ie=UTF-8&q=ojcze&tl=pl&client=tw-ob
same,themselves,https://translate.google.com/translate_tts?ie=UTF-8&q=same&tl=pl&client=tw-ob
twarzy,face,https://translate.google.com/translate_tts?ie=UTF-8&q=twarzy&tl=pl&client=tw-ob
tysięcy,thousands,https://translate.google.com/translate_tts?ie=UTF-8&q=tysięcy&tl=pl&client=tw-ob
zamiar,intention,https://translate.google.com/translate_tts?ie=UTF-8&q=zamiar&tl=pl&client=tw-ob
ludziom,people,https://translate.google.com/translate_tts?ie=UTF-8&q=ludziom&tl=pl&client=tw-ob
przestać,stop,https://translate.google.com/translate_tts?ie=UTF-8&q=przestać&tl=pl&client=tw-ob
zadzwoń,Call,https://translate.google.com/translate_tts?ie=UTF-8&q=zadzwoń&tl=pl&client=tw-ob
przyjaciele,friends,https://translate.google.com/translate_tts?ie=UTF-8&q=przyjaciele&tl=pl&client=tw-ob
mieszka,lives,https://translate.google.com/translate_tts?ie=UTF-8&q=mieszka&tl=pl&client=tw-ob
pewny,sure,https://translate.google.com/translate_tts?ie=UTF-8&q=pewny&tl=pl&client=tw-ob
zabierz,take,https://translate.google.com/translate_tts?ie=UTF-8&q=zabierz&tl=pl&client=tw-ob
kolację,dinners,https://translate.google.com/translate_tts?ie=UTF-8&q=kolację&tl=pl&client=tw-ob
wieści,news,https://translate.google.com/translate_tts?ie=UTF-8&q=wieści&tl=pl&client=tw-ob
stan,state,https://translate.google.com/translate_tts?ie=UTF-8&q=stan&tl=pl&client=tw-ob
ziemię,Earth,https://translate.google.com/translate_tts?ie=UTF-8&q=ziemię&tl=pl&client=tw-ob
powstrzymać,stop,https://translate.google.com/translate_tts?ie=UTF-8&q=powstrzymać&tl=pl&client=tw-ob
żartujesz,you are kidding,https://translate.google.com/translate_tts?ie=UTF-8&q=żartujesz&tl=pl&client=tw-ob
nogi,legs,https://translate.google.com/translate_tts?ie=UTF-8&q=nogi&tl=pl&client=tw-ob
kochasz,you love,https://translate.google.com/translate_tts?ie=UTF-8&q=kochasz&tl=pl&client=tw-ob
grać,play,https://translate.google.com/translate_tts?ie=UTF-8&q=grać&tl=pl&client=tw-ob
sądzie,court,https://translate.google.com/translate_tts?ie=UTF-8&q=sądzie&tl=pl&client=tw-ob
uwielbiam,I love,https://translate.google.com/translate_tts?ie=UTF-8&q=uwielbiam&tl=pl&client=tw-ob
każdej,every,https://translate.google.com/translate_tts?ie=UTF-8&q=każdej&tl=pl&client=tw-ob
osoba,person,https://translate.google.com/translate_tts?ie=UTF-8&q=osoba&tl=pl&client=tw-ob
robił,did,https://translate.google.com/translate_tts?ie=UTF-8&q=robił&tl=pl&client=tw-ob
potrafię,I can,https://translate.google.com/translate_tts?ie=UTF-8&q=potrafię&tl=pl&client=tw-ob
przyjaciółmi,friends,https://translate.google.com/translate_tts?ie=UTF-8&q=przyjaciółmi&tl=pl&client=tw-ob
dobrego,good,https://translate.google.com/translate_tts?ie=UTF-8&q=dobrego&tl=pl&client=tw-ob
zrozumieć,understand,https://translate.google.com/translate_tts?ie=UTF-8&q=zrozumieć&tl=pl&client=tw-ob
mogłeś,you could,https://translate.google.com/translate_tts?ie=UTF-8&q=mogłeś&tl=pl&client=tw-ob
wyboru,selection,https://translate.google.com/translate_tts?ie=UTF-8&q=wyboru&tl=pl&client=tw-ob
spokoju,peace,https://translate.google.com/translate_tts?ie=UTF-8&q=spokoju&tl=pl&client=tw-ob
piękne,Beautiful,https://translate.google.com/translate_tts?ie=UTF-8&q=piękne&tl=pl&client=tw-ob
y,y,https://translate.google.com/translate_tts?ie=UTF-8&q=y&tl=pl&client=tw-ob
fajnie,Cool,https://translate.google.com/translate_tts?ie=UTF-8&q=fajnie&tl=pl&client=tw-ob
trudne,difficult,https://translate.google.com/translate_tts?ie=UTF-8&q=trudne&tl=pl&client=tw-ob
cel,objective,https://translate.google.com/translate_tts?ie=UTF-8&q=cel&tl=pl&client=tw-ob
james,James,https://translate.google.com/translate_tts?ie=UTF-8&q=james&tl=pl&client=tw-ob
biura,offices,https://translate.google.com/translate_tts?ie=UTF-8&q=biura&tl=pl&client=tw-ob
henry,Henry,https://translate.google.com/translate_tts?ie=UTF-8&q=henry&tl=pl&client=tw-ob
słyszę,I hear,https://translate.google.com/translate_tts?ie=UTF-8&q=słyszę&tl=pl&client=tw-ob
świetny,great,https://translate.google.com/translate_tts?ie=UTF-8&q=świetny&tl=pl&client=tw-ob
tygodni,weeks,https://translate.google.com/translate_tts?ie=UTF-8&q=tygodni&tl=pl&client=tw-ob
przyjść,come,https://translate.google.com/translate_tts?ie=UTF-8&q=przyjść&tl=pl&client=tw-ob
wolno,slow,https://translate.google.com/translate_tts?ie=UTF-8&q=wolno&tl=pl&client=tw-ob
żony,wives,https://translate.google.com/translate_tts?ie=UTF-8&q=żony&tl=pl&client=tw-ob
mocno,tightly,https://translate.google.com/translate_tts?ie=UTF-8&q=mocno&tl=pl&client=tw-ob
znaczenia,importance,https://translate.google.com/translate_tts?ie=UTF-8&q=znaczenia&tl=pl&client=tw-ob
uciec,escape,https://translate.google.com/translate_tts?ie=UTF-8&q=uciec&tl=pl&client=tw-ob
tyłu,so many,https://translate.google.com/translate_tts?ie=UTF-8&q=tyłu&tl=pl&client=tw-ob
żoną,wife,https://translate.google.com/translate_tts?ie=UTF-8&q=żoną&tl=pl&client=tw-ob
widziałaś,You saw,https://translate.google.com/translate_tts?ie=UTF-8&q=widziałaś&tl=pl&client=tw-ob
and,and,https://translate.google.com/translate_tts?ie=UTF-8&q=and&tl=pl&client=tw-ob
informacje,information,https://translate.google.com/translate_tts?ie=UTF-8&q=informacje&tl=pl&client=tw-ob
zapytać,ask,https://translate.google.com/translate_tts?ie=UTF-8&q=zapytać&tl=pl&client=tw-ob
hey,hey,https://translate.google.com/translate_tts?ie=UTF-8&q=hey&tl=pl&client=tw-ob
poszedł,he went,https://translate.google.com/translate_tts?ie=UTF-8&q=poszedł&tl=pl&client=tw-ob
osoby,persons,https://translate.google.com/translate_tts?ie=UTF-8&q=osoby&tl=pl&client=tw-ob
młody,young,https://translate.google.com/translate_tts?ie=UTF-8&q=młody&tl=pl&client=tw-ob
musieli,they had to,https://translate.google.com/translate_tts?ie=UTF-8&q=musieli&tl=pl&client=tw-ob
obawiam,I am afraid,https://translate.google.com/translate_tts?ie=UTF-8&q=obawiam&tl=pl&client=tw-ob
tacy,such,https://translate.google.com/translate_tts?ie=UTF-8&q=tacy&tl=pl&client=tw-ob
otwórz,open,https://translate.google.com/translate_tts?ie=UTF-8&q=otwórz&tl=pl&client=tw-ob
bogu,God,https://translate.google.com/translate_tts?ie=UTF-8&q=bogu&tl=pl&client=tw-ob
gościa,guest,https://translate.google.com/translate_tts?ie=UTF-8&q=gościa&tl=pl&client=tw-ob
matką,mother,https://translate.google.com/translate_tts?ie=UTF-8&q=matką&tl=pl&client=tw-ob
odpowiedź,answer,https://translate.google.com/translate_tts?ie=UTF-8&q=odpowiedź&tl=pl&client=tw-ob
niektórzy,some,https://translate.google.com/translate_tts?ie=UTF-8&q=niektórzy&tl=pl&client=tw-ob
związek,relationship,https://translate.google.com/translate_tts?ie=UTF-8&q=związek&tl=pl&client=tw-ob
centrum,center,https://translate.google.com/translate_tts?ie=UTF-8&q=centrum&tl=pl&client=tw-ob
pierwszym,first,https://translate.google.com/translate_tts?ie=UTF-8&q=pierwszym&tl=pl&client=tw-ob
pytań,questions,https://translate.google.com/translate_tts?ie=UTF-8&q=pytań&tl=pl&client=tw-ob
szukam,I'm looking for,https://translate.google.com/translate_tts?ie=UTF-8&q=szukam&tl=pl&client=tw-ob
jakbym,like,https://translate.google.com/translate_tts?ie=UTF-8&q=jakbym&tl=pl&client=tw-ob
chwileczkę,for a while,https://translate.google.com/translate_tts?ie=UTF-8&q=chwileczkę&tl=pl&client=tw-ob
tygodnie,weeks,https://translate.google.com/translate_tts?ie=UTF-8&q=tygodnie&tl=pl&client=tw-ob
zabiję,I will kill,https://translate.google.com/translate_tts?ie=UTF-8&q=zabiję&tl=pl&client=tw-ob
samej,on the same,https://translate.google.com/translate_tts?ie=UTF-8&q=samej&tl=pl&client=tw-ob
wreszcie,at last,https://translate.google.com/translate_tts?ie=UTF-8&q=wreszcie&tl=pl&client=tw-ob
m,m,https://translate.google.com/translate_tts?ie=UTF-8&q=m&tl=pl&client=tw-ob
